SL No,Company,Country,Country Code,Market Cap,Diversity,Stock Price (2015),Stock Price (2016),Stock Price (2017),Stock Price (2018),Stock Price (2019),Stock Price (2020),Stock Price (2021),Stock Price (2022),Stock Price (2023),Stock Price (2024),Expense (2015),Expense (2016),Expense (2017),Expense (2018),Expense (2019),Expense (2020),Expense (2021),Expense (2022),Expense (2023),Expense (2024),Revenue (2015),Revenue (2016),Revenue (2017),Revenue (2018),Revenue (2019),Revenue (2020),Revenue (2021),Revenue (2022),Revenue (2023),Revenue (2024),Market share (2015),Market share (2016),Market share (2017),Market share (2018),Market share (2019),Market share (2020),Market share (2021),Market share (2022),Market share (2023),Market share (2024)
172,Gigazoom,China,CNY,n/a,23.4,$29.43B,$366.58M,$91.07M,$41.77B,$1.83B,$3.64M,$8.83M,$12.88B,$1.6B,n/a,$28426060.49,$50563848.96,$85135120.16,$71579625.49,$28572198.23,$16761274.41,$96562724.15,$65565906.15,$9754107.63,$8622234.37,$60241361.71,$87542393.50,$41155181.41,$44567893.12,$71280909.42,$11199850.68,$96351919.43,$936305.91,$11305779.92,$94950791.93,60.9,72.79,54.05,75.48,20.67,18.18,33.45,76.06,90.16,99.71
173,Skyvu,Ukraine,UAH,$2.56B,96.5,$1.89B,$436.58B,$4.69B,$63.73B,$1.11B,$367M,n/a,$14.98B,$7.71M,$441.75M,$24243790.24,$13547370.12,$94777573.18,$31688580.85,$8114442.61,$44822806.84,$75280399.02,$38922916.42,$2174963.61,$47579090.21,$50342100.04,$73973784.89,$31773117.43,$52491323.41,$12343716.73,$5080455.65,$5843032.82,$61445157.92,$35451024.96,$86656997.96,2.57,23.14,64.29,80.62,84.38,96.42,12.2,25.83,64.59,2.73
174,Feedmix,Yemen,YER,$176.55M,45.9,$2.34B,$53.83M,$1.68B,n/a,$3.5B,$12.84B,n/a,n/a,$7.79B,$93.58M,$33230228.67,$81104151.37,$70424299.50,$90746789.30,$60590894.34,$75043959.02,$25903457.14,$33933726.62,$37389370.09,$53214785.87,$23079728.54,$72634452.54,$3939385.27,$25594342.95,$3108678.38,$51492867.22,$86915827.62,$25526770.15,$5428145.79,$26269582.45,48.97,26.23,44.59,25.25,74.55,3.06,4.4,57.92,86.01,59.88
175,Chatterpoint,United States,USD,$393.18M,67.2,$378.21M,$30.7M,$4.11M,$428.97M,$1.26B,$5.28B,$6.9B,$17.51B,$1.63B,$7.55B,$95736791.35,$52918086.58,$67249497.02,$86558881.71,$51389140.77,$24070536.77,$66182306.19,$18221347.72,$70847999.99,$15378868.53,$34772994.56,$56010853.37,$17457486.30,$35313218.25,$53387505.69,$74322287.02,$72427545.12,$35998013.91,$31479313.61,$92916047.37,36.45,24.21,92.68,83.19,26.07,68.43,78.8,35.84,66.59,73.57
176,Jaxspan,Portugal,EUR,$2.56B,80.3,$571.52M,$5.5B,$87.89M,$21.18M,$3.38B,$812.25M,$725.53M,$1.62B,$2.92B,$276.59M,$3452927.46,$16630554.22,$13233532.70,$88782738.37,$96075186.75,$83522121.36,$99050183.02,$1963195.52,$4455483.25,$56512375.16,$63801676.36,$47147245.78,$65277732.37,$55751700.90,$44456873.97,$95016916.04,$83068742.32,$88619941.91,$39430926.11,$13722445.65,60.34,67.05,81.59,36.2,85.12,49.09,42.02,84.8,6.72,69.76
177,Jazzy,Argentina,ARS,n/a,43.3,$538.84M,n/a,$445M,$802.72M,$481.23M,$1.62B,$11.06B,$9.82B,$487.29M,$491.34M,$32779431.79,$22069598.90,$51456151.59,$48375638.87,$75655716.14,$55481737.58,$18170763.30,$43058515.07,$23907778.43,$50036882.35,$86445381.58,$61115644.37,$69520174.29,$56250624.82,$59519862.51,$78539571.47,$74796110.87,$96742457.59,$54631253.67,$41953472.59,66.19,85.01,7.64,71.62,67.83,25.25,85.81,72.28,51.06,61.25
178,Yacero,Sweden,SEK,$347.78M,25.5,$1.86B,$296.86M,n/a,$7.6B,$1.74B,$61.21M,$3.56B,n/a,$119.06M,$386.39M,$93073642.66,$11109505.81,$47662868.73,$87155105.41,$33910420.30,$37124210.78,$73108153.23,$30744735.96,$48168178.43,$38445917.05,$44517799.19,$79341227.56,$68282791.75,$77787124.80,$93594690.37,$12474069.07,$12504286.40,$28911437.02,$60791209.82,$40695240.38,26.98,66.74,60.71,69.74,72.06,68.33,40.85,70.14,91.32,62.68
179,Edgewire,France,EUR,n/a,47.2,$5.17B,$445.87M,n/a,n/a,$162.82M,$2.05B,$1.16B,$2.59B,$73.14M,$184.25M,$64687424.58,$96792495.86,$79745983.64,$29175868.37,$80798193.78,$61127188.99,$3929684.41,$28958682.68,$4385379.55,$30894171.16,$20745741.42,$81366838.34,$27643510.63,$16817876.18,$75936840.70,$41724539.15,$87807329.60,$28548887.38,$3138019.94,$71927621.64,84.23,48.61,77.58,16.27,4.59,54.87,90.97,64.31,51.45,83.02
180,Mymm,United States,USD,$14.36M,76.8,n/a,$24.23M,$5.26B,$264.02M,$519.54M,$789.19M,n/a,$2.79B,$37.85B,$16.12M,$83468671.44,$70367993.29,$72496228.80,$50447132.54,$95806906.99,$24980895.09,$97303026.00,$52261852.06,$62570597.58,$47060467.50,$78197179.83,$68028393.69,$60408313.23,$1322366.03,$24599110.98,$22328309.96,$32211736.04,$71747380.32,$11341630.13,$50102869.10,60.1,16.51,26.18,97.81,31.83,7.42,39.53,84.18,92.09,33.48
181,Shufflester,China,CNY,$90.32M,74.8,$286.11M,n/a,$271.66M,n/a,n/a,$75.19B,$378.24M,$457.06M,$61.78M,n/a,$73536701.03,$27084579.35,$4978531.71,$8799834.60,$28124455.10,$49538862.54,$63215685.13,$71874963.43,$62554474.67,$38693345.64,$46057641.03,$65842392.23,$87912017.45,$77970065.96,$74988177.39,$84500922.77,$66087638.89,$43776824.37,$49747568.50,$57415548.00,34.61,4.84,26.64,78.04,41.99,15.77,50.59,20.87,67.81,41.08
182,Eimbee,Belgium,EUR,$156.44M,36.7,n/a,$31.32M,$3.3B,$48.88B,n/a,n/a,$781.49M,$2.25B,$1.02B,$217.04M,$94816116.46,$93012895.50,$92242287.90,$99336615.69,$25835637.07,$98209134.81,$86933674.48,$28323591.28,$46368373.94,$98698353.91,$18767482.08,$49910345.77,$34162460.99,$18878251.73,$44410561.35,$67523434.07,$10639094.13,$61748665.90,$87195693.98,$97623526.61,99.7,2.76,86.46,20.2,31.02,58.49,52.7,37.61,2.47,51.57
183,Thoughtblab,Indonesia,IDR,n/a,41.4,$130.23M,$1.59B,n/a,$54.78M,$5.58B,$896.08M,$694.28M,$38.27B,n/a,$164.19M,$60556061.88,$51596532.10,$42125311.68,$2363917.77,$35731811.75,$44115846.34,$13170006.05,$944984.02,$15738974.33,$4109450.44,$92373274.51,$49816790.92,$42337683.28,$10874774.69,$66119862.15,$53139237.63,$50239129.00,$71865410.80,$42160180.16,$4020066.61,77.91,62.97,71.6,27.38,18.26,99.06,24.4,66.11,98.71,55.92
184,Eidel,Indonesia,IDR,$1.97B,68.4,$3.1B,$741.96M,$121.54M,n/a,$8.15B,$32.63M,$340.42M,$180.82M,$33.29B,n/a,$24257732.90,$81288866.55,$80332630.62,$36592692.12,$2183877.72,$28394355.89,$1747303.39,$22562677.50,$77211678.81,$52914802.50,$37366932.26,$98546681.16,$397888.07,$60083706.62,$78949036.70,$54137186.75,$49165265.61,$78099305.84,$62200287.98,$70737241.01,4.05,77.1,26.95,91.71,2.6,19.82,36.11,66.77,57.11,73.77
185,Yabox,Brazil,BRL,$1.59B,61.7,$687.35M,$111.64M,$6.35B,$8.61M,n/a,$4.72B,$8.51B,$729.05M,$11.05B,$4.35B,$40435852.90,$7572748.09,$20207050.58,$74301539.92,$10450387.88,$61922680.56,$46221787.43,$99181153.79,$18554838.86,$94776273.95,$11658671.74,$38003129.19,$78287135.56,$60917706.71,$40562366.03,$30337120.32,$36370023.51,$60266649.39,$41983048.47,$31442783.81,55.69,80.66,9.51,95.27,48.96,13.77,25.44,9.81,92.79,26.67
186,Flashpoint,Colombia,COP,$12.16M,48.7,$96.24B,$1.03B,n/a,$14.07M,$361.05M,$33.49M,$6.11M,$2.34B,$28.16B,$1.6B,$91209504.94,$34164732.65,$89790429.39,$47631961.42,$54562507.32,$59259463.84,$26021573.65,$762127.15,$8120979.29,$76031383.23,$90592380.92,$6175624.82,$23803369.47,$88248531.88,$35293925.52,$37594645.15,$67943012.67,$12641777.73,$11588024.30,$7047277.81,49.28,71.84,54.57,10.52,50.7,86.41,70.84,19.97,20.42,99.37
187,Skinix,Argentina,ARS,$24M,59.4,n/a,$6.31M,$951.53M,n/a,$9.44B,n/a,$142.71M,$1.9B,$429.89M,$105.45M,$64168304.72,$53783364.09,$71392804.55,$99607497.12,$99358829.07,$82921166.67,$70581246.92,$59825299.68,$21257754.34,$6034377.69,$83559364.51,$31180290.61,$45081806.84,$4313094.32,$17476559.01,$83526206.91,$88505797.07,$71132663.56,$26472317.19,$5190157.37,76.87,46.99,52.46,28.59,88.9,56.75,55.32,23.34,43.44,69.56
188,Geba,Egypt,EGP,$354.97M,66.1,$782.98M,n/a,$93.93M,n/a,$3.74B,$1.91B,$555.08M,$7.17B,$959.79M,$10.9M,$52616979.15,$6061164.07,$62006097.60,$87096104.86,$67931742.72,$89609065.94,$71758815.30,$29236805.98,$68051747.89,$65325804.73,$90748368.11,$61165778.12,$96606650.92,$72124118.55,$69262408.17,$12652458.23,$9996919.72,$9176695.73,$6946608.80,$8856671.41,79.62,52.21,92.07,80.88,15.99,81.11,53.64,24.58,86.43,7.79
189,Voomm,Venezuela,VEF,$48.66B,39.7,$8.44B,$136.12M,$18.55M,$28.04M,n/a,$1.24B,n/a,$15.23B,$299.1M,$5.53B,$97503971.92,$50394527.44,$2427777.19,$54864722.05,$8119871.93,$37848565.57,$43643637.90,$57182341.33,$60600926.57,$25522182.96,$25636585.89,$30956717.70,$82458937.67,$50137328.53,$4429207.27,$60261100.42,$89147072.65,$38967603.33,$73112719.56,$69901253.70,69.89,36.22,62.62,70.88,69.15,81.11,11.02,5.21,15.79,64.92
190,Buzzbean,Nigeria,NGN,n/a,63.7,$6.37B,$5.28B,$967.38M,$51.49B,$1.62B,$9.24B,$662.05M,$14.17B,$444.68M,$62.92M,$51043907.89,$54133971.70,$9362514.06,$50431423.81,$95215985.64,$92209236.99,$43173077.77,$6188179.58,$68367667.64,$4365267.26,$35032464.38,$96542478.94,$10958573.89,$1578716.04,$46606593.50,$43332938.54,$56976251.08,$85229821.39,$30930782.12,$84852721.16,29.48,42.91,71.39,46.79,92.43,90.32,11.16,78.51,82.95,60.35
191,Feedmix,Albania,ALL,$1.19B,51.9,$276.7M,$312.5M,$17.98B,$420.14M,$120.19M,$28.04M,n/a,$462.71M,$12.62B,n/a,$21320092.46,$26779133.02,$31301492.80,$11969449.83,$51162838.11,$71293825.37,$55348403.21,$44870890.88,$74084194.79,$55160825.25,$86011171.53,$37838157.71,$30391457.99,$59789674.38,$21513414.83,$55302045.28,$41065182.21,$52054166.39,$53772275.31,$12870113.58,47.64,11.79,47.16,40.89,72.98,24.09,65.55,25.81,8.31,84.74
192,Edgetag,Brazil,BRL,$43.5M,47.6,$173.77M,$315.76M,$877.03M,$654.14M,$8.15B,$2.21B,$420.47M,$1.1B,$9.76M,$1.01B,$77016526.62,$13585711.70,$22113465.03,$42124917.31,$37077339.73,$16740361.93,$50820865.91,$30416769.51,$11119231.56,$98561953.56,$94464558.86,$35441785.74,$57870067.11,$29247809.18,$53533912.68,$63165091.83,$86416800.71,$38932762.71,$59537487.21,$75557829.54,16.16,46.18,52.24,25.59,21.85,43.25,8.74,73.93,87.53,26.34
193,Realblab,Brazil,BRL,$320.19M,65.2,$2.44M,$2.38B,$952M,n/a,$118.13M,$3.72B,$479.46M,$7.2B,$2.9B,$534.38M,$57154966.85,$47843947.67,$6248684.04,$47625149.80,$80483818.78,$9176460.87,$39053249.14,$16020016.01,$50203938.63,$69091409.04,$41723684.18,$84394029.57,$34796842.37,$46192698.28,$56353235.92,$14519502.02,$79066883.46,$8023586.42,$85544921.77,$54193369.57,77.23,49.44,35.25,99.42,46.21,35.51,60.91,28.96,81.78,64.97
194,Gabtype,Thailand,THB,$23.35M,85.7,$1.38B,$1.09B,$1.52B,$6.65B,$130.34M,$737.05M,$117.89M,$2.24B,$9.15M,$158.76M,$68098410.17,$34002497.50,$30614326.30,$34806334.39,$7314699.75,$69820185.99,$14627610.08,$48762689.77,$1405333.33,$9863342.23,$22581226.22,$20279373.11,$31184440.59,$18018414.66,$92674712.57,$39386012.20,$92048722.78,$62054845.58,$1964261.09,$15826597.28,30.95,25.76,27.84,27.72,23.9,92.17,94.57,37.35,11.32,38.93
195,Oozz,China,CNY,$3.79B,28.3,$104.92M,$259.78M,$3.63B,n/a,$3.5B,$3.23B,$388.09M,$118.37M,$84.98M,$49.63B,$50065844.58,$73813741.96,$36035920.64,$78416129.77,$57404445.88,$4975817.63,$3763342.41,$53961279.44,$60430342.69,$10306437.42,$57193100.74,$87314716.39,$11228604.69,$1473982.66,$55592797.48,$85558807.13,$26511166.04,$80866491.11,$35592528.65,$54853060.67,80.41,89.47,44.46,72.77,39.01,42.49,16.48,92.47,25.46,68.7
196,Dabvine,Venezuela,VEF,n/a,66.0,$12.79B,$270.26M,n/a,$14.73M,$4.48B,$5.8B,$2.15B,$173.78M,$146.29M,$10.35M,$47600601.44,$25699189.09,$70963242.09,$70077520.96,$23912735.19,$15169120.23,$90446909.76,$73260179.54,$14092995.98,$44921220.80,$33749761.57,$33614446.37,$34844093.66,$89108647.58,$28129473.46,$70573403.18,$60552076.42,$64600054.02,$90741638.43,$81151147.52,78.18,69.08,57.18,13.69,8.72,55.34,97.74,87.51,33.2,4.97
197,Edgeblab,Djibouti,DJF,n/a,60.2,n/a,$1.13B,n/a,$32.77B,$46.21B,$1.8B,$231.89M,$1.45B,$13B,$641.32M,$26382141.22,$20990283.27,$34887074.76,$60996065.06,$92138948.78,$21681040.42,$21725342.59,$76856250.11,$56793290.37,$45993813.58,$7224918.75,$24377078.64,$92194489.24,$48584724.62,$11466949.13,$63968948.70,$17852369.30,$75746938.34,$61320176.99,$48533261.15,59.27,89.95,15.16,22.5,35.3,38.57,24.58,62.67,31.58,87.89
198,Skalith,Netherlands,EUR,$234.26M,75.2,$155.4M,$747.14M,$507.8M,n/a,$4.01B,$5.74B,$96.78M,$2.49B,$13.56M,$48.5M,$60615329.98,$90598741.61,$75303175.62,$55291287.33,$20795996.02,$55336461.80,$8302231.94,$32301627.68,$77530884.28,$79646701.44,$24775960.84,$36535173.01,$3736819.72,$28030955.15,$33529774.47,$64069500.92,$77828388.83,$43012828.15,$49308162.21,$97357711.49,69.57,64.48,65.56,54.9,13.22,62.5,23.97,79.07,49.88,49.9
199,Yodoo,Madagascar,MGA,$10.72B,90.6,$626.98M,n/a,$359.34M,$64.14M,$6.08M,$1.77B,$1.05B,$4.69B,$12.79M,$7.82B,$7400169.57,$70061904.31,$44087602.29,$57654323.80,$49351438.29,$86371845.38,$4246344.27,$61531072.37,$12857705.06,$26063180.64,$80880479.06,$31682424.97,$27421838.44,$28595610.96,$17160582.96,$47734790.04,$29180932.76,$37426042.78,$32260474.51,$74891293.25,46.1,19.92,35.65,12.69,51.61,88.95,25.59,68.78,43.89,33.6
200,Quaxo,France,EUR,n/a,66.0,n/a,n/a,n/a,n/a,$7.49B,$390.47M,$55.3M,$1.89B,$411.13M,$250.29M,$42371493.28,$30739292.70,$78306251.26,$59285292.92,$98501326.80,$60729496.67,$46306258.24,$21597239.12,$15115355.67,$84193619.93,$88247464.50,$24210811.96,$96487075.86,$50638424.79,$94497100.66,$49444674.81,$95727268.44,$72992875.66,$32465017.28,$27950067.27,56.38,3.98,70.58,56.17,2.64,34.14,56.12,20.76,73.48,66.36
201,Devpoint,Portugal,EUR,$3.56B,65.7,$774.33M,$7.87M,$29.1B,$5.65B,$107.22M,n/a,$29.95M,$58.64B,$270.26M,n/a,$43963695.75,$91288049.92,$21496630.73,$4505256.15,$66454988.12,$98230585.52,$62460549.96,$34092746.94,$86287451.85,$7074166.72,$11304632.22,$88321475.65,$11116021.73,$17393013.56,$58153343.82,$72063697.24,$57185300.94,$37735646.64,$26796468.65,$51335304.13,40.9,5.25,57.01,82.5,66.86,45.62,51.41,91.33,95.95,94.5
202,Jayo,Czech Republic,CZK,$125.21M,87.6,$61.73M,n/a,$29.24M,$13.92B,n/a,$683.54M,$412.44M,$136.01M,$47.44B,$5.87B,$72557171.48,$69574387.35,$23008463.74,$51741954.54,$85155236.93,$19307150.69,$73607842.72,$3929822.64,$94579198.76,$41558686.34,$56818322.64,$47302752.46,$97579700.38,$7813633.20,$91769185.05,$47351692.38,$60982724.90,$7510145.58,$46336256.51,$94939960.57,29.26,2.48,27.42,50.72,57.05,9.41,5.5,77.17,16.7,35.02
203,Aibox,United States,USD,$32.7M,34.9,$183.56M,$1.11B,$14.2M,$1.27B,$7.49B,n/a,$2.89B,$177.98M,$2.67B,n/a,$73681094.23,$97815222.60,$13122361.86,$91823431.28,$64445079.22,$1237556.68,$99174880.15,$7919353.46,$98366474.62,$6940161.67,$75844150.88,$73686853.67,$73584575.05,$20438775.23,$16415259.01,$27252207.93,$9427296.77,$59029664.27,$56849353.33,$6497592.95,89.03,12.12,30.06,76.47,50.53,43.85,57.44,72.01,17.16,44.88
204,Voonte,Oman,OMR,n/a,33.7,$4.36M,$1.06B,n/a,$1.14B,$38.95B,n/a,n/a,n/a,$298.66M,$776.55M,$58601115.98,$67376548.57,$26735498.77,$99265028.44,$68739294.57,$71821822.40,$22558208.95,$59965108.37,$94086385.34,$9334575.36,$92708239.18,$70635892.56,$62841805.62,$89123488.38,$67639039.65,$91604838.79,$49780585.48,$33281946.39,$64223432.38,$51356609.76,92.87,99.88,70.48,67.77,75.79,39.25,75.09,87.29,43.45,15.29
205,Dazzlesphere,Nigeria,NGN,$1.53B,73.9,n/a,n/a,n/a,$1.64B,$16.98M,$2.96B,$1.84B,$1.18B,$3.63B,$1.09B,$58448030.32,$8030496.93,$7783385.37,$21130073.34,$2803153.84,$87712120.56,$78331819.50,$95463805.02,$65525758.31,$25993871.59,$13184878.83,$22224342.73,$17106744.97,$13203389.52,$50294272.49,$6264763.69,$33203360.87,$73627592.14,$46127980.22,$57244506.07,83.35,91.67,25.38,51.0,62.12,72.01,15.44,44.51,55.3,62.84
206,Mudo,United States,USD,$299.64M,84.4,n/a,$55.3M,$12.97B,$95.91M,$61.25B,$340.42M,$187.28M,$37.85M,n/a,$69.13M,$3526258.35,$11121477.14,$43701582.60,$65965444.30,$32405280.78,$57594105.81,$80857256.67,$29681693.59,$14340812.88,$54945491.71,$14260160.59,$5045034.67,$74262576.32,$45414172.29,$19274571.49,$90906486.83,$64133451.90,$10584867.98,$17818308.18,$31776445.46,25.43,51.45,18.51,43.48,30.03,54.27,96.48,22.71,94.89,69.61
207,Tagopia,Yemen,YER,$9.01B,21.7,$404.02M,$3.69B,$214.42M,$2.24B,$14.98B,$449.65M,$220.5M,$50.45M,$19.68B,n/a,$33004243.92,$21791386.59,$42763330.53,$10459034.34,$22315923.99,$37861328.14,$86127436.49,$55663979.73,$9221262.81,$18654703.96,$3561278.69,$28859190.97,$54588366.95,$77333124.50,$22634922.09,$96818615.54,$58696392.02,$77897728.95,$2602794.38,$36633412.05,42.86,5.59,82.37,79.79,78.09,19.41,46.29,40.26,7.34,12.44
208,Flashspan,Indonesia,IDR,$50.45M,35.4,n/a,$7.27B,$1.19B,$36.35M,$923.88M,n/a,$298.04M,$854.42M,$51.37M,n/a,$81650192.69,$69879887.81,$42593960.48,$72447444.64,$67720632.48,$32801038.75,$91990857.07,$44147132.01,$60098278.59,$84076185.27,$6684230.25,$91141551.66,$70156204.37,$19294460.45,$52746997.51,$87412839.35,$49889048.93,$34200317.49,$49987977.70,$93880178.25,95.06,24.6,78.43,16.45,44.04,66.59,34.73,90.57,27.91,27.13
209,Gabtype,China,CNY,$1.91B,36.3,n/a,$198.85M,$146.86M,$47.56M,$7.89B,n/a,$10.5B,$25.91B,$1.12B,$139.62M,$31014513.60,$42006308.38,$90131029.89,$17360893.60,$77431886.06,$89466766.76,$84636315.43,$973480.95,$41756827.55,$69554845.22,$8550375.10,$98196712.72,$77045211.53,$19156089.12,$2013255.56,$71715023.86,$64442574.52,$15573651.27,$89233957.92,$8981704.48,11.54,24.05,81.06,17.05,86.73,69.63,19.22,86.33,57.32,6.67
210,Demimbu,Zambia,ZMW,n/a,38.2,n/a,n/a,$90.06M,$49.95B,$13.14B,$725.05M,$748.44M,$94.05M,$749.53M,$50.6M,$56917276.68,$98888243.03,$24139065.63,$74769965.91,$2586809.68,$49641778.03,$90951664.74,$69666547.37,$49087899.63,$16253199.80,$66338310.21,$85316983.22,$8116752.59,$92859780.59,$66735547.86,$71068446.77,$60199899.63,$50812255.50,$1012645.09,$67806928.29,2.59,14.82,96.65,34.5,34.26,54.64,36.02,20.21,41.73,56.88
211,Skyba,Mali,XOF,$654.76M,77.4,$527.78M,$283.98M,$738.12M,$60.75M,$5.29B,$169.43M,$772.65M,n/a,$239.53B,$94.73M,$43290047.31,$8697046.58,$32234595.59,$88131602.08,$49030655.25,$41295356.21,$62874141.59,$27527928.32,$93461703.68,$35483323.80,$29706863.19,$89573556.25,$2950141.06,$69313408.60,$84257852.87,$75263783.21,$46266180.23,$30154534.35,$62551913.27,$66622502.40,87.07,77.5,63.66,35.61,82.91,10.81,73.29,58.82,54.85,48.39
212,Teklist,Philippines,PHP,n/a,41.6,n/a,$22.92M,$2.64B,$61M,$3.96B,$189.21M,$79.8M,$824M,$965.1M,$45.79B,$33871626.00,$148969.88,$53395380.95,$41490970.44,$42259198.08,$92190486.22,$88419043.25,$58141907.27,$99053666.16,$59854987.77,$77170925.22,$18213917.10,$33415627.29,$83417488.45,$84350307.94,$18951329.82,$26709898.66,$1057459.46,$23384976.49,$87667672.33,13.8,89.02,29.94,98.07,75.86,57.77,10.89,83.58,76.97,60.07
213,Feedmix,China,CNY,n/a,29.2,$2.78B,$683.54M,$1.27B,$33.03B,n/a,$400.41M,n/a,$1.05B,$4.45B,n/a,$8285811.15,$64885249.90,$64974875.25,$56372878.38,$33702889.54,$76760181.75,$99529216.05,$10988594.14,$31032895.80,$28574821.34,$45323417.91,$54561940.65,$69519962.41,$60601696.01,$13179323.75,$17553164.87,$98715341.19,$8508088.30,$14026443.96,$9535704.20,95.58,87.27,71.92,44.36,99.58,92.74,4.93,21.89,46.5,24.25
214,Babblestorm,Indonesia,IDR,$119.44B,44.0,n/a,n/a,$238.68M,$393.25M,n/a,$5.04B,$246.04M,$5.11B,$93.93M,$1.82B,$64244469.98,$46858233.55,$3235458.63,$42931598.31,$65595356.67,$32206063.38,$43477638.49,$29219441.97,$98837689.23,$14034227.23,$40360459.82,$58037343.49,$36260559.93,$49427841.84,$21350264.10,$13161187.46,$64679730.97,$17055242.19,$43046809.41,$16846382.47,49.23,3.51,64.47,96.9,16.14,71.86,29.25,67.68,44.95,1.46
215,Babbleblab,China,CNY,$257.87M,65.8,$16.82M,$326.61M,$35.98B,n/a,$13.53B,$812.25M,$96.09M,$513.83M,n/a,$1.89B,$61602894.57,$88309829.08,$43846916.88,$33729203.96,$74317033.69,$41780262.99,$68357275.83,$360837.83,$19617797.90,$48132398.89,$69235427.63,$68145697.02,$34799311.88,$81686580.64,$86607812.03,$16167699.04,$75608000.71,$16676199.00,$64811031.14,$2972132.88,55.46,17.35,73.57,15.01,6.9,63.49,57.63,55.69,96.74,42.02
216,Vipe,Peru,PEN,$23.59B,49.6,$6.47B,$118.37M,$262.03M,$58.87M,$6.7B,$123.88B,$7.21B,$10.75B,$56.32M,$20.68B,$47131697.02,$53925040.57,$24946260.19,$81702020.66,$6571154.74,$28989172.12,$41529315.41,$19634110.43,$53424224.35,$76175294.82,$87362224.49,$90948988.36,$51244343.28,$12429594.43,$78351516.84,$46282038.19,$74263016.97,$64714081.40,$52554207.01,$45394444.42,73.6,99.27,59.41,43.33,36.54,81.58,87.38,35.47,9.18,9.3
217,Jazzy,China,CNY,$741.61M,68.3,$263.57M,$2.1B,$298.59M,$33.54M,$211.52M,$656.34M,$1.59B,$513.32M,$111.6M,$2.77B,$84844860.01,$82448747.88,$91117671.30,$33383375.73,$15287679.32,$1645415.87,$82558091.33,$78602895.90,$5971384.44,$96975769.01,$45045614.97,$43127306.85,$15851190.36,$53725245.26,$46574768.19,$97987652.73,$67601070.80,$91687850.10,$61213968.17,$71281565.54,86.17,7.11,46.83,81.3,67.4,24.31,51.32,31.63,43.04,26.91
218,Tagopia,Russia,RUB,$1.54B,67.5,$69.29M,$63.77B,$159.18M,$1.75B,$95.92M,$2.61M,$1.17B,$2.7B,$21.8M,$13.34M,$62702635.38,$8505205.10,$3953397.92,$49628946.95,$7041493.94,$51097566.81,$86559629.48,$30963540.96,$34414167.88,$84617619.07,$1287119.63,$36553904.89,$13128159.95,$10937456.85,$31973906.51,$90289234.10,$72311384.91,$90553141.96,$21091379.78,$62558884.86,64.41,52.38,98.26,60.69,48.41,53.54,77.31,53.66,89.98,31.8
219,Mydeo,Canada,CAD,$2.58B,93.2,$134.32M,$21.06B,$702.5M,$14.95M,$392.38M,$8.53B,$252.54M,$10.45B,$1.38B,$145.96M,$64853036.97,$84139956.17,$85981682.89,$49529375.41,$84591424.15,$42575944.30,$42798700.43,$98578965.21,$41310118.18,$62158130.70,$16984660.63,$25296881.35,$5240285.71,$22109500.89,$57652343.67,$47993507.87,$20450654.30,$83873733.63,$9688292.54,$2995736.07,93.85,71.84,76.43,79.67,19.33,69.47,74.12,90.7,73.52,75.11
220,DabZ,New Zealand,NZD,n/a,28.7,$1.91B,n/a,$497.06M,$349.29M,$747.14M,$21.83B,$5.85B,$332.73M,$407.51M,n/a,$51480072.08,$46693587.17,$22191713.21,$17860279.55,$10547443.73,$2709222.05,$42528838.28,$79512833.23,$90273594.68,$47626485.43,$74937756.20,$68801210.58,$64017293.79,$14045982.54,$40233143.09,$5437305.01,$60279078.69,$13734253.61,$22502383.53,$20783723.91,83.53,15.0,92.92,16.44,92.5,12.01,16.68,15.2,70.51,42.18
221,Jatri,Indonesia,IDR,$967.38M,67.2,$16.06B,$80.58M,$506.48M,$49.8M,$257.87M,n/a,$276.21M,$660.87M,$124.92M,$2.46B,$28003502.76,$4312250.77,$89611414.87,$31717606.91,$99587142.19,$2811882.69,$21966906.02,$3990310.75,$26375510.49,$46997963.74,$14244087.06,$97238896.95,$4068687.74,$90283774.71,$37341353.20,$69403646.92,$56002836.46,$59728602.89,$36161157.64,$11202827.77,68.56,20.31,88.51,93.03,13.12,9.31,5.14,25.56,13.23,71.04
222,Gabspot,Czech Republic,CZK,$1.9B,74.4,$2.5B,$6.1B,$299.6M,$30.31M,n/a,$34.48M,n/a,$14.49B,$20.66M,n/a,$28275335.57,$87465738.07,$87267833.73,$86900433.21,$83281904.64,$42650001.46,$98911737.09,$99016437.41,$18801351.72,$93708202.67,$48436910.81,$849663.96,$29484123.17,$7100155.31,$13401336.11,$88039572.12,$6128268.45,$67770541.26,$63817128.46,$13094254.76,71.22,61.96,26.43,89.76,39.7,23.73,12.31,36.11,23.82,77.59
223,Quimm,Russia,RUB,n/a,72.8,$8.75B,$1.92B,$6.57B,$10.99M,n/a,$413.03M,$10.72B,n/a,$1.21B,$231.22M,$9051756.63,$20446682.71,$11887156.37,$32671039.11,$56774748.38,$8203578.43,$57475516.70,$6697161.36,$39129811.98,$64639863.41,$348379.13,$35583982.74,$67860016.89,$74136977.48,$84583937.90,$52966660.13,$10239537.23,$65882589.68,$82003560.90,$30945633.77,16.58,52.24,48.44,15.99,77.22,88.24,86.75,52.94,18.14,87.86
